,SHAP,LIME,PFI,DECODE,DT
island,4,3,4,4,3
bill_length_mm,1,1,1,2,2
bill_depth_mm,2,4,2,3,4
flipper_length_mm,3,4,4,1,1
body_mass_g,4,2,3,4,4
sex,4,4,4,4,4
year,4,4,4,4,4
