,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
SHAP,0.024110435644530692,0.025971794719375014,0.08485977826073772,0.008528349540181722,0.1844554165476607,0.0008590330405130454,0.006120157337156901,0.011299123762134638,0.19846780402157835,0.009538891361679704,0.03894512675751393,0.01014033531043831,0.011352043097119747,0.04075803685215473,0.03792709407124618,0.0,0.0013935424879433298,0.0029761689011190253,0.10135055458979816,0.10345137969646971,0.04038385607487386,0.05711107792577452
LIME,0.015038956882805522,0.024607098336368836,0.01074318622998601,0.009237376597331134,0.24227812643612984,0.0,0.018461937802941242,0.014130506365919294,0.13691272099021323,0.015017157208510391,0.016917597092924598,0.024397965319832546,0.014549284978665717,0.03141433382428019,0.02939484396526171,0.0,0.08227217685352096,0.014884781560812339,0.07075290231398329,0.11516094969822167,0.050292610879833076,0.0635354866624584
PFI,0.04413861823888529,0.04427083643600425,0.048350052510854426,0.04366158708115385,0.053241182185508044,0.04360401901435274,0.0436045572350837,0.04359541500540713,0.05353476063571008,0.043658934143231,0.0443698605265825,0.04359379684035813,0.04361936198606701,0.045303192160700466,0.04527525120833909,0.04360401906762523,0.04360321249578059,0.04360455693330102,0.04621554207153571,0.04908874730640065,0.04379722715894601,0.04626526975817319
DECODE,0.0,0.0,0.0,0.0,0.04658390391919289,0.0,0.0,0.1304741788310087,0.30664615316969474,0.0,0.0771441142665299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43915164981357374,0.0,0.0
DT,0.0,0.0,0.0,0.0,0.1118241513167932,0.0,0.0,0.15365653664373072,0.2870640411575434,0.0,0.03924062754081364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.408214643341119,0.0,0.0
