,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
SHAP,0.06636385453432037,0.3397664532982457,0.2098641172795319,0.22541711664370223,0.11224703015156472,0.026320036080917274,0.02002139201171804
LIME,0.10020976496135972,0.407086880098075,0.10337903906375039,0.08665303999142579,0.18282342764031634,0.09022912349748059,0.0296187247475922
PFI,0.12606599712281616,0.22214184506010978,0.14334394036012163,0.12868230348364842,0.12826013976424622,0.12624241972079325,0.12526335448826464
DECODE,0.0,0.3610247869656023,0.044586422443485645,0.5473166818173875,0.012851674285501897,0.03422043448802285,0.0
DT,0.0,0.30642192976507243,0.07467016398887918,0.5914123592703436,0.02749554697570461,0.0,0.0
