,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
SHAP,0.06270785122858012,0.36599362950821684,0.24378003155657324,0.17338534043734677,0.11336351369297917,0.019850845992776242,0.02091878758352756
LIME,0.12176127636459995,0.44571275391610193,0.07812434146484433,0.06757063730735283,0.21567677671225619,0.05793981713520118,0.013214397099643591
PFI,0.12338288071262665,0.22847752022397733,0.14817892448712972,0.12410464066098477,0.12740311737504975,0.1248970061593944,0.1235559103808372
DECODE,0.0,0.3728971054082655,0.05091938552728074,0.5761835090644537,0.0,0.0,0.0
DT,0.04746466668780087,0.37500726787256994,0.0,0.5775280654396293,0.0,0.0,0.0
