,Time,Age,Sex,Wing,Weight,Culmen,Hallux,Tail
SHAP,0.01871641611507908,0.02341972825628667,0.1408477975617078,0.04821096441394169,0.053254995995539116,0.13037628245968572,0.08940516894430126,0.4957686462534587
LIME,0.016484519310548063,0.04193449997203002,0.38702304791654857,0.1685941366802845,0.1451715973481655,0.126654045201369,0.07395389644114769,0.04018425712990665
PFI,0.11604018933524456,0.11573019322726087,0.13464513813408788,0.11731600385129157,0.1171203000510733,0.1221907262229303,0.11690049181913262,0.16005695735897896
DECODE,0.0,0.0,0.0,0.0,0.0024819738722894665,0.7860151945674,0.0,0.21150283156031055
DT,0.0,0.0,0.7460856677153834,0.0,0.0,0.026265355808105854,0.20306951742854745,0.024579459047963336
