,reg,decode,dt
linreg,0.21384853670086654,0.22688913674540143,0.14820976721092843
knn_r,0.09803526979115441,0.15673891417358868,0.1526521756913029
mlp_r,0.11614733279826601,0.17074412849228912,0.14820976721092843
svr,0.12210886053163218,0.17002836171670277,0.14820976721092843
