,Global Time (s),Global Std (s),Local Time (s),Local Std (s)
SHAP,0.21565575040000004,0.0021407875314753432,0.0022195076,6.679366932377161e-05
LIME,1.2486243072,0.11585410767660645,0.0132051316,0.00016652070629364095
PFI,0.11513959520000001,0.00595539715045254,,
DECODE,0.091648792,0.0019374314915440577,5.124699999999999e-06,2.9424723164939554e-07
