,Global Time (s),Global Std (s),Local Time (s),Local Std (s)
SHAP,18.325174272,0.019529234821513395,0.1118972336,0.0017428421077235916
LIME,30.063772467200003,0.1091269341990122,0.3020871232,0.009096446347474037
PFI,1.1591122176,0.056690954346187365,,
DECODE,0.08049554080000001,0.0023761303275466462,4.8503e-06,3.0957190871696895e-07
