,SHAP,LIME,PFI,DECODE,DT
carat,3,3,3,4,4
cut,6,6,6,6,6
color,5,5,5,3,3
clarity,4,4,4,2,2
depth,6,6,6,6,6
table,6,6,6,6,6
x,6,6,6,5,5
y,1,1,1,1,1
z,2,2,2,6,6
