,Global Time (s),Global Std (s),Local Time (s),Local Std (s)
SHAP,3.5144301567999996,0.019259081733159725,0.0338674096,0.000287094790415522
LIME,3.7458723840000006,0.045484299669388314,0.0370860848,0.0005299640000493142
PFI,0.9251625728000001,0.007758262400706624,,
DECODE,0.012322466800000003,0.0012554791896682836,1.8757e-06,2.526960624940564e-07
