,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT
SHAP,0.032693262234268376,0.04661809988747289,0.04414965767959659,0.009576970500999,0.04924499930376913,0.22869473426301873,0.0899382755237649,0.07345067322518899,0.02994455626021467,0.04597245512536643,0.10181997477324418,0.05708434760476509,0.19081199361833107
LIME,0.010211393813350773,0.05069980065775754,0.04255279788029475,0.03149118498134882,0.03180732719492447,0.23954666715079265,0.0930937914120668,0.05465709987137793,0.02304774961492691,0.052651327574294075,0.1443323350542067,0.052346869155581115,0.17356165563907736
PFI,0.07100284834331946,0.0693521279477189,0.06876217060153324,0.06732523953999137,0.06989822986236165,0.11682365408635974,0.07324002015746936,0.07421839241185343,0.07078002981720909,0.06887590354125767,0.07411704627491328,0.07041402031002164,0.10519031710599133
DECODE,0.023013913423230774,0.0,0.0,0.0,0.00476336409512649,0.4654374233001282,0.0,0.0,0.0,0.0,0.024218820618087934,0.01884908913313069,0.46371738943029595
DT,0.03553806390977438,0.0,0.0,0.0,0.014332706766917294,0.5054628759398502,0.0,0.06896146616541352,0.0,0.0024083646616541296,0.01233552631578946,0.0196193609022556,0.34134163533834555
