,SHAP,LIME,PFI,DECODE,DT
island,5,4,6,6,5
bill_length_mm,1,1,1,2,2
bill_depth_mm,3,3,2,3,3
flipper_length_mm,2,6,3,1,1
body_mass_g,4,2,4,5,4
sex,6,5,5,4,5
year,6,6,6,6,5
