,Global Time (s),Global Std (s),Local Time (s),Local Std (s)
SHAP,111.67671746560002,0.4086653278097646,1.1063453696,0.016354762185120483
LIME,112.98946416640003,0.48390362661790426,1.1276361984,0.01567928381037349
PFI,9.956586496,0.13339501124613595,,
DECODE,0.18726650560000002,0.002735670751021138,4.3402e-06,2.6274372812051416e-07
