,SHAP,LIME,PFI,DECODE,DT
CRIM,10,10,10,3,4
ZN,10,10,10,10,10
INDUS,10,10,9,7,10
CHAS,10,9,10,10,10
NOX,7,8,8,9,8
RM,1,1,1,1,1
AGE,3,3,3,5,9
DIS,4,5,5,8,3
RAD,8,7,7,10,10
TAX,6,6,6,10,6
PTRATIO,5,4,4,4,5
B,9,10,10,6,7
LSTAT,2,2,2,2,2
