,SHAP,LIME,PFI,DECODE,DT
carat,2,2,5,2,4
cut,5,5,5,5,5
color,5,5,3,4,3
clarity,5,5,2,3,2
depth,5,5,4,5,5
table,5,5,5,5,5
x,4,4,1,5,5
y,1,1,5,1,1
z,3,3,5,5,5
