,SHAP,LIME,PFI,DECODE,DT
Time,6,6,6,6,5
Age,6,6,6,6,5
Sex,2,1,3,4,1
Wing,5,3,6,3,5
Weight,6,4,5,6,5
Culmen,3,2,2,1,4
Hallux,4,5,4,5,2
Tail,1,6,1,2,3
