,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
SHAP,0.0096115639675465,0.02274482599910052,0.05307598606303996,0.01274998737594277,0.21967049555012563,0.001095292178630823,0.02602687392747214,0.11172538991780931,0.16923448958660114,0.024192453545539287,0.03776724715255008,0.042117683531027565,0.02065378543738403,0.022189781384440596,0.0190241438198821,0.0,0.0022448057178286766,0.00341056497002088,0.028689722196238124,0.09531587460710207,0.04886896725278105,0.02959006581893677
LIME,0.00772215802928442,0.03184598594826118,0.014849806275345817,0.022436539914240095,0.15587344486130814,0.0,0.089781033420639,0.18464628427931856,0.09015761080688389,0.048149602908616376,0.01411360454601583,0.08841938399419494,0.026130505913795506,0.028978420431518694,0.008889297488388218,0.0,0.06308456200709686,0.013677224468914896,0.018486328706440038,0.05240136278552021,0.03411825912295477,0.0062385840912628
PFI,0.043885770991037576,0.04435139449129905,0.046298607341443504,0.04375292434981886,0.05946034417350236,0.0436100407347599,0.043719639888640464,0.04425912224883315,0.05233074512062082,0.04375827860629165,0.044478090824120554,0.04365232224958197,0.04377282168752945,0.04396786159595911,0.043770142295677626,0.04360979033936726,0.04361490050474478,0.043683803919465074,0.04428200249292229,0.05127543775962033,0.04422386425335072,0.0442420941314136
DECODE,0.0,0.0,0.003601394903723803,0.0,0.08127267396293233,0.0,0.0,0.11938216613394896,0.36050565345468943,0.0,0.010714558402592512,0.0,0.0021912964932807692,0.0,0.0,0.0,0.0,0.02116350972739976,0.0,0.19595449417119915,0.19525357799469062,0.009960674755542494
DT,0.0,0.016526516100506563,0.004484188295602611,0.0,0.0,0.0,0.0,0.11859050220472495,0.35288237319139487,0.02633751801841455,0.04941784637676693,0.0,0.0017915768458932624,0.018730660804835292,0.0,0.0,0.0,0.0,0.0033954286917597426,0.20091752774881222,0.19689099688018485,0.010034864841104003
