,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
SHAP,0.0032047360524349263,0.021403950969702643,0.007857856624756604,0.007169332860630121,0.049119729362068695,0.00016682416482478125,0.0983325795971199,0.23963668383348005,0.019140167236179333,0.02787091025027022,0.1303768082535407,0.20660626476588986,0.003256794657061089,0.009503131241551652,0.0015715713249512804,0.0,0.02772893223765208,0.003746618800589145,0.09180110383729043,0.024130624782595807,0.01885217458117511,0.008523204566235523
LIME,0.003622776418311942,0.015444953298918047,0.005480881376470288,0.0057898972181194275,0.031166412524138366,0.0,0.16219777144517533,0.22221796638786745,0.01076473194001747,0.02042068290371917,0.06361407306553132,0.1821353229933342,0.004132747244851364,0.009838137941003435,0.0029557202563313726,0.0,0.1310400283436066,0.01112242160229011,0.08130837871501202,0.01588829301934169,0.015053852204839364,0.005804951101121088
PFI,0.039498426842704604,0.03990380811801696,0.0396176719917719,0.03945766506882347,0.04172256758976664,0.0395340099302944,0.04984901800391657,0.08594396116035326,0.039269444772774456,0.03998539777510708,0.06253915038151084,0.07862442885884116,0.03957850515279471,0.03963879014651542,0.03949688061332404,0.039540708591200846,0.042564964703941215,0.03949728602732884,0.04371974848928364,0.04022223269250677,0.04017327249383027,0.03962206059539294
DECODE,0.0,9.899030849539404e-05,0.0,0.011215207087803335,0.0,0.0,0.04948637194782008,0.3851613046353651,0.0052444635878888726,0.0,0.0,0.05909889837351597,0.0,0.0,0.01882450545139123,0.0,0.0,0.0,0.0,0.47087025860772014,0.0,0.0
DT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12155724449158112,0.36171032348564164,0.026996395643379644,0.05065411751016867,0.0,0.001836396175350931,0.0,0.0,0.0,0.0,0.019199240011747956,0.0,0.20594382002906578,0.20181655867043113,0.010285903982633193
