,SHAP,LIME,PFI,DECODE,DT
CRIM,8,8,8,7,4
ZN,8,7,8,8,8
INDUS,5,6,4,8,5
CHAS,8,4,8,8,8
NOX,6,8,6,8,7
RM,2,2,1,2,1
AGE,8,8,8,8,8
DIS,3,3,3,5,3
RAD,8,8,8,8,8
TAX,7,8,7,6,6
PTRATIO,4,5,5,3,8
B,8,8,8,4,8
LSTAT,1,1,2,1,2
