,Global Time (s),Global Std (s),Local Time (s),Local Std (s)
SHAP,0.1296076416,0.0021358457889820884,0.0010966796000000001,6.032628265137268e-05
LIME,1.8308673280000003,0.0035538793684692397,0.017935128800000002,0.0002079318239244159
PFI,0.21831524800000002,0.0032751460464561025,,
DECODE,0.012966309799999999,0.00013156811866152653,3.0975000000000004e-06,4.563488066526892e-07
