,Time,Age,Sex,Wing,Weight,Culmen,Hallux,Tail
SHAP,0.014700653770051418,0.03744904935508874,0.0941342700602592,0.046348239469457875,0.09404427092136594,0.05923962832048997,0.014530878390968446,0.6395530097123183
LIME,0.0058546068943152625,0.03593486450402686,0.4951395538162285,0.10959970694170515,0.13699161276092095,0.10120923499158496,0.0718467770144085,0.04342364307680975
PFI,0.1114528854536584,0.11179867901067994,0.14660367529738202,0.11206528039307516,0.11386492266016819,0.11632106771984797,0.11165912892358311,0.17623436054160535
DECODE,0.0,0.0,0.7713266748725761,0.0,0.0,0.0,0.0,0.2286733251274239
DT,0.0,0.0,0.7860523541282096,0.0,0.0,0.0,0.2139476458717905,0.0
