,Global Time (s),Global Std (s),Local Time (s),Local Std (s)
SHAP,0.027999698000000003,0.0008074114186153178,0.0002915491,3.679802341566729e-05
LIME,0.9215719040000001,0.010435137623920685,0.0088183688,0.000158837258779334
PFI,0.17078730880000004,0.003723509544131099,,
DECODE,0.012396068800000003,0.0002639187483632021,2.9243e-06,3.034325295679426e-07
