,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT
SHAP,0.026024009001565825,0.013905916175300442,0.024460188779304167,0.006108039296122657,0.05362127595739211,0.22464559627637737,0.11742863579388212,0.09269690400918028,0.05217374279049696,0.08805369362771179,0.09244428579550655,0.030548853261484824,0.1778888592356748
LIME,0.009890207200810798,0.01370489141010458,0.00947274794633357,0.03715905383614705,0.042905117963073565,0.2169242332426856,0.1129620085972959,0.0961674846212442,0.07621276692199964,0.0901235053509299,0.10049135641193889,0.03098482284719624,0.16300180365024017
PFI,0.067186648188518,0.06661354847642251,0.06808693623721805,0.06486452320392201,0.06884939693834866,0.14091791314208438,0.07273912704524156,0.07194231698128117,0.06897519536893833,0.07185075994991436,0.07208603227383649,0.06757769942538931,0.09830990276888521
DECODE,0.024594107089133257,0.0,0.002591558481870794,0.0,0.0014987025328757925,0.6857291400897524,0.0075876975372788065,0.00216966053589133,0.0,0.0,0.018800314214456385,0.002694551279803686,0.25433426823893773
DT,0.027721510292820963,0.0,0.00019566146691930543,0.0,0.008663127723224848,0.6452479270884186,0.005860130605439208,0.06939009052517418,0.0,0.014269911824739403,0.014390751094124478,0.013352626835429756,0.2009082625437092
