,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT
SHAP,0.020847878918855235,0.05334985112208869,0.00726034959868628,0.017565723313935532,0.09104143712798847,0.12978944431076275,0.016579985327704286,0.15617784907257082,0.12103045191065034,0.09615578455397138,0.0962997949967364,0.029702314880999416,0.16419913486505042
LIME,0.013746314653180117,0.061621524939859555,0.007670171158863852,0.08755435393451844,0.07993326456787615,0.1437908219246568,0.01522736709981004,0.1216154079408721,0.11619800062946001,0.08787437045193783,0.08940856493149102,0.028986809356745843,0.14637302841072822
PFI,0.06638639516525532,0.06899036697708737,0.06524077914674205,0.06587991237074783,0.0736293433832474,0.09053013410666949,0.06545395807845573,0.10097155324627595,0.08038624775412666,0.07353543091607918,0.07514199934908648,0.06682320283018807,0.10703067667603838
DECODE,0.0,0.0,0.0011907895756749242,0.0,0.0,0.25015001559179467,0.0,0.0057489194408465475,0.0,0.00042803737788558777,0.03960740163217227,0.006390238607962255,0.6964845977736638
DT,0.026428219415110796,0.0,0.012651844593989513,0.0,0.008799868717367782,0.6542046525744935,0.005952628385732764,0.07048536122476741,0.0,0.011002933223545149,0.005458272237418914,0.0016770932300466993,0.20333912639752752
