,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
SHAP,0.06071712828109193,0.33053218772627047,0.2408272441867535,0.19337508221729674,0.1288030681560663,0.03343584010877558,0.01230944932374543
LIME,0.12628281743906145,0.40563489727123886,0.09900973052224628,0.08689275062644362,0.18674907804658786,0.07212351912029094,0.023307206974130905
PFI,0.1271206300322779,0.21511044464889706,0.1479900437803165,0.12772339288154347,0.12924003698418188,0.12792642274138777,0.12488902893139545
DECODE,0.0,0.35293592762465886,0.04505034257912441,0.5481516886707908,0.012985395498170897,0.040876645627255084,0.0
DT,0.0,0.30642192976507243,0.07467016398887918,0.5914123592703436,0.02749554697570461,0.0,0.0
