,SHAP,LIME,PFI,DECODE,DT
island,5,3,6,6,5
bill_length_mm,1,1,1,2,2
bill_depth_mm,2,4,2,3,3
flipper_length_mm,3,5,5,1,1
body_mass_g,4,2,3,5,4
sex,6,6,4,4,5
year,6,6,6,6,5
