,SHAP,LIME,PFI,DECODE,DT
Time,3,3,3,3,3
Age,3,3,3,3,3
Sex,2,1,2,1,1
Wing,3,3,3,3,3
Weight,3,2,3,3,3
Culmen,3,3,3,3,3
Hallux,3,3,3,3,2
Tail,1,3,1,2,3
