,Time,Age,Sex,Wing,Weight,Culmen,Hallux,Tail
SHAP,0.016947962133716753,0.01613589425300977,0.15358113184176697,0.04843924697065846,0.042771526268754155,0.14071811722918262,0.11539389593025115,0.46601222537265996
LIME,0.01059354460540432,0.037603063073302787,0.4212373675963402,0.12839741986325673,0.12278348040502503,0.1350681941562372,0.10299963723225555,0.041317293068178274
PFI,0.11698976570850006,0.1169690842761505,0.12706425969644752,0.1170655354689046,0.11716092041243435,0.12786535276369773,0.11752671790170358,0.15935836377216162
DECODE,0.0,0.0,0.011060634613155798,0.011335945616326445,0.0,0.7782761158383904,0.001444027296717566,0.19788327663540986
DT,0.0,0.0,0.7456308275608899,0.0,0.0,0.016215546582031105,0.21815202924144772,0.02000159661563127
