,Global Time (s),Global Std (s),Local Time (s),Local Std (s)
SHAP,0.14281656,0.004304902114755413,0.0015069612,3.681745039334835e-05
LIME,2.9283038720000003,0.05695496571045677,0.029214556800000003,0.0004140017680760914
PFI,0.5587780736,0.003286610043988118,,
DECODE,0.013185490600000002,0.0004365106492619248,2.5704e-06,2.86661472821166e-07
