,Global Time (s),Global Std (s),Local Time (s),Local Std (s)
SHAP,0.1655291232,0.005582768219566315,0.0016534610000000002,5.416086344954289e-05
LIME,2.4825564672000002,0.11612716711732533,0.024195896000000005,0.0002580026022731828
PFI,0.5696860032000001,0.011880645690224338,,
DECODE,0.013333508600000002,0.000388390001603027,2.515e-06,3.5966058073318697e-07
