,carat,cut,color,clarity,depth,table,x,y,z
SHAP,0.19646920795921555,0.017065176392324157,0.08752100088799217,0.1198316652258459,0.013391318344074424,0.011401640156830982,0.18313436902073865,0.18650740331246632,0.18467821870051188
LIME,0.19624637319617352,0.013510290757490752,0.08034815731080085,0.08587281806963869,0.014408650978863602,0.010638435895931355,0.19671219931504663,0.2012725927978159,0.2009904816782386
PFI,0.1345383505657061,0.10029530088638039,0.10767582760678006,0.11281467700944472,0.10037102174407937,0.10040461683714022,0.1142735676572499,0.11524263893941045,0.1143839987538088
DECODE,0.6643147439806198,0.0,0.012725923288067945,0.05098180573734588,0.0005735838667092327,0.0,0.2638897660834153,0.007514177043841738,0.0
DT,0.5610635654125516,0.0,0.02111763680936185,0.07367147253396436,0.0,0.0,0.007133798862155973,0.3370135263819662,0.0
