,SHAP,LIME,PFI,DECODE,DT
CRIM,8,8,8,8,4
ZN,8,8,8,8,8
INDUS,8,8,8,6,5
CHAS,8,7,8,8,8
NOX,7,8,6,8,7
RM,3,2,3,2,1
AGE,8,8,8,8,8
DIS,2,3,2,5,3
RAD,4,4,4,8,8
TAX,6,6,7,7,6
PTRATIO,5,5,5,3,8
B,8,8,8,4,8
LSTAT,1,1,1,1,2
