,Global Time (s),Global Std (s),Local Time (s),Local Std (s)
SHAP,0.036668078400000005,0.0016273032222547065,0.00036856240000000004,2.8930852703184025e-05
LIME,0.9310815616,0.015616084596072723,0.0089499246,0.00014213779259999784
PFI,0.1828197248,0.0066932492805057515,,
DECODE,0.0206164488,0.0007778903883998069,2.2949000000000007e-06,2.5379827947932744e-07
