,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT
SHAP,0.022406617353061258,0.0520958008427996,0.09146102940629647,0.017993594459249338,0.07346303458174641,0.1623979577470899,0.02333298558323959,0.140946759220413,0.04053364566034244,0.0608466332630795,0.10149753986996841,0.02662475728349279,0.18639964472922127
LIME,0.026194079811176836,0.07021127922418234,0.08032630382849153,0.10036259712981406,0.06103938551507955,0.16553844989356906,0.020036432745207784,0.12290896155111863,0.032855786207328895,0.04026302087844039,0.0919552144617623,0.014557817013259937,0.17375067174056882
PFI,0.06770795366603577,0.0661752320197319,0.0756881826890908,0.06445737680964936,0.06954222028736581,0.12067477081626593,0.0656621142326413,0.08852133130089915,0.06704854646871289,0.06918204372697133,0.07331525709192654,0.0648020512059207,0.10722291968478843
DECODE,0.000257058544655252,0.0,0.0,0.0,0.0,0.2627233771109709,0.0,0.0011425256926582451,0.0,0.000399689119248537,0.04065325104017275,0.0031958417849825976,0.6916282567073117
DT,0.026428219415110796,0.0,0.012651844593989513,0.0,0.008799868717367782,0.6542046525744935,0.005952628385732764,0.07048536122476741,0.0,0.011002933223545149,0.005458272237418914,0.0016770932300466993,0.20333912639752752
