,carat,cut,color,clarity,depth,table,x,y,z
SHAP,0.202169324878885,0.012949855763147803,0.0997934912653543,0.10472602603519013,0.00796952207444774,0.0059078905986656065,0.07328662962855739,0.27924621003707356,0.21395104971867848
LIME,0.20296525192436243,0.025793746543957368,0.08728295734332189,0.09466939008688925,0.011481608590051472,0.012634301147605076,0.07545942790492238,0.2734222332517024,0.21629108320718773
PFI,0.11932091262688925,0.09343369689100692,0.10173980391145102,0.10765538297667103,0.09343043666461014,0.09334504141175028,0.10133742078563465,0.16634549670632537,0.12339180802566126
DECODE,0.020214138365193746,0.0,0.020838683714378248,0.02395608325352016,0.0,0.0,0.003028553772779983,0.9319625408941278,0.0
DT,0.005356065010955726,0.0,0.019149154401047138,0.0481598574715617,0.0,0.0,0.002318663620890194,0.9239843188429288,0.0010319406526165757
