,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
SHAP,0.00938657609184746,0.02097286713928434,0.027188360519620088,0.030647605971099934,0.09889499647047024,0.011028788645273582,0.11049970666697256,0.18572787387601136,0.06008851532125705,0.0841604850763704,0.06298743086962083,0.039696982377883334,0.012514276860168254,0.00998649100830455,0.02040171194680526,0.0,0.015286924294550476,0.008038423637520109,0.0269658765875001,0.09159043050883223,0.022882884425817585,0.0510527917047903
LIME,0.006329909446372083,0.019085480328448052,0.018736813871395946,0.028733178175275858,0.03787053884883221,0.0,0.19054338579341937,0.18544859403051261,0.037950712537237904,0.10203651133915015,0.02046036499716252,0.062431827138666116,0.0057448622072432485,0.007315678619171459,0.03218406013207913,0.0,0.09700134290741029,0.04870342071420656,0.022242456328601366,0.04641036451047144,0.013518807593997258,0.017251690480346547
PFI,0.042816962186956305,0.04374898606487307,0.0429535787024351,0.043360859083745734,0.054390642164983745,0.04298629583231956,0.051248893394222936,0.05744702408064757,0.04527876315135867,0.045114150786086236,0.04708690755808076,0.042925030854792726,0.042864309335621825,0.042876072006920396,0.04306747386891083,0.04273704544275036,0.043483102287022214,0.04275127424506595,0.043712569317853035,0.04938780418732797,0.04347204330698633,0.04629021214103872
DECODE,0.0,0.0,0.0,0.0,0.045656905434597946,0.0,0.0,0.1299283925162909,0.30721953308445243,0.0,0.07723659641180708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4399585725528517,0.0,0.0
DT,0.0,0.0,0.0,0.0,0.1118241513167932,0.0,0.0,0.15365653664373072,0.2870640411575434,0.0,0.03924062754081364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.408214643341119,0.0,0.0
