,clf,decode,dt
logreg,1.0,0.9333704750025722,0.8735272060052718
knn,1.0,0.9127059254444392,0.8735272060052718
mlp,1.0,0.9306804384898237,0.9306804384898237
svm,1.0,0.9333704750025722,0.8735272060052718
