,clf,decode,dt
logreg,0.9161933537128313,0.9212319692651582,0.9620356661664071
knn,0.9963037404509617,0.9630644230533194,0.9630644230533194
mlp,1.0,0.9630644230533194,0.9630644230533194
svm,0.9840330054201529,0.9581135649527445,0.9536052917684147
