,reg,decode,dt
linreg,0.3683013769634803,0.3806315770588479,0.3318747498968918
knn_r,0.2714651065042908,0.28367711778785815,0.32710563002513166
mlp_r,0.36808746432219264,0.33529790701374734,0.3318747498968918
svr,0.2339036969856151,0.29530775462861064,0.31786051325879855
