,Global Time (s),Global Std (s),Local Time (s),Local Std (s)
SHAP,0.33207803520000007,0.005846722462352613,0.0030096057999999997,8.9904786010534e-05
LIME,1.9475234048,0.016588152265806816,0.019499028,0.0004316589151559374
PFI,0.2561363168,0.0018591646303646673,,
DECODE,0.006707557899999999,0.0003400589295934361,1.8665999999999998e-06,2.485381258479267e-07
