,Time,Age,Sex,Wing,Weight,Culmen,Hallux,Tail
SHAP,0.019999800010283477,0.004046714994359193,0.18901826882392866,0.0354451596542167,0.19623411080223144,0.05326832602512932,0.01903150660477871,0.4829561130850725
LIME,0.015773368414246033,0.03766614472526397,0.3137650388242976,0.09085418472429087,0.23624373734367607,0.1523160401254126,0.10304835774405699,0.050333128098755696
PFI,0.11320883939305623,0.1131242458914282,0.1407306076736127,0.11335321196185753,0.11982803133157159,0.11601169248012905,0.1130715402944349,0.17067183097390978
DECODE,0.0,0.0,0.0,0.01158042124934833,0.0,0.7840541982811132,0.0014357973276101967,0.20292958314192827
DT,0.0,0.0,0.7456308275608899,0.0,0.0,0.016215546582031105,0.21815202924144772,0.02000159661563127
