,carat,cut,color,clarity,depth,table,x,y,z
SHAP,0.31172587657823503,0.01049958286970718,0.09300077966238691,0.10008891641710893,0.01194759297254169,0.007686852136037346,0.03140467331589901,0.3225170985566117,0.11112862749147218
LIME,0.31293747886405493,0.010691444214702483,0.0792446248381745,0.1054886372135262,0.013611327319039027,0.012960125149637501,0.02527863911880957,0.3317653112695272,0.10802241201252856
PFI,0.1875051010009408,0.08778604068127749,0.09562867729658645,0.09681817420517026,0.08792160691805853,0.08781223043073197,0.08942338592334709,0.17050458326481893,0.09660020027906839
DECODE,0.0759063376986022,0.0003775640634639685,0.0193882227243532,0.028537837976525267,0.0,0.0,0.02128109627778083,0.8545089412592745,0.0
DT,0.005356065010955726,0.0,0.019149154401047138,0.0481598574715617,0.0,0.0,0.002318663620890194,0.9239843188429288,0.0010319406526165757
