,Global Time (s),Global Std (s),Local Time (s),Local Std (s)
SHAP,0.22575945920000004,0.00848018457670213,0.0022430503,5.3457149010835314e-05
LIME,1.3875320064,0.3276646241273458,0.0127074486,8.621395580840276e-05
PFI,0.09826636320000001,0.0010028946531539672,,
DECODE,0.0840014672,0.000559777011077808,3.294400000000001e-06,6.3244776648616075e-06
