,SHAP,LIME,PFI,DECODE,DT
CRIM,7,7,6,4,4
ZN,7,7,7,7,7
INDUS,7,7,7,7,7
CHAS,7,7,7,7,7
NOX,7,7,7,6,6
RM,1,1,1,1,1
AGE,4,4,5,7,7
DIS,5,5,3,7,3
RAD,7,7,7,7,7
TAX,7,6,7,7,7
PTRATIO,3,3,4,3,7
B,6,7,7,5,5
LSTAT,2,2,2,2,2
