,carat,cut,color,clarity,depth,table,x,y,z
SHAP,0.27718665213005933,0.003106365318100645,0.026053571224406366,0.027679960943388225,0.013496664560101401,0.009567317040242107,0.13336146348415095,0.2846959477467093,0.22485205755284166
LIME,0.2732890960912671,0.009155565505186467,0.024807844825303647,0.028079447955167605,0.01771531914749733,0.01333168266103219,0.13079223843305607,0.27956581822057414,0.22326298716091547
PFI,-0.03786751644237767,0.10951257750452902,0.11305607053293461,0.11347103453972436,0.11074994505044512,0.11000063478567232,0.6039327777735904,-0.04027024728958018,-0.08258527645493782
DECODE,0.011847821511399941,0.0,0.006989051194284367,0.010164026530505353,0.0,0.0,0.0,0.9709991007638104,0.0
DT,0.005356065010955726,0.0,0.019149154401047138,0.0481598574715617,0.0,0.0,0.002318663620890194,0.9239843188429288,0.0010319406526165757
