,clf,decode,dt
logreg,0.9558280372886238,0.9451017937305178,0.9451017937305178
knn,0.9562786245562239,0.9451017937305178,0.9559330379123584
mlp,0.967086617782209,0.9451017937305178,0.9559330379123584
svm,0.967086617782209,0.9445845839764806,0.9559330379123584
