,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
SHAP,0.057119382013795426,0.39131838933158347,0.209396435212419,0.16003276908366681,0.14391867171953937,0.02910607120377308,0.009108281435222696
LIME,0.03594078661630514,0.48388982205783915,0.06593457298552453,0.08860163981399413,0.2081023585212203,0.10193197970010713,0.015598840305009598
PFI,0.12129309476528079,0.23800920443430398,0.13772206103850618,0.1236850687504638,0.1339438055222108,0.12362346554805308,0.1217232999411814
DECODE,0.0,0.3610247869656023,0.044586422443485645,0.5473166818173875,0.012851674285501897,0.03422043448802285,0.0
DT,0.0,0.30642192976507243,0.07467016398887918,0.5914123592703436,0.02749554697570461,0.0,0.0
