,trial_no,max_depth,imp_threshold,min_samples_split,min_impurity_decrease,criterium,n_steps,adaptive,train_score,metric,opt_direction,test_score,error
0,184,4,1e-07,2,6.555491984384544e-06,mae,auto,False,0.7595215379873643,r2_score,maximize,0.8955923478548701,
1,185,4,2.243848788634152e-06,2,5.021256583443995e-05,mae,auto,False,0.7595215379873643,r2_score,maximize,0.8955923478548701,
2,186,4,6.245271690417139e-07,2,1.5060083750767524e-07,mae,auto,False,0.7595215379873643,r2_score,maximize,0.8955923478548701,
3,187,4,0.0006400249315135305,2,2.625869666434459e-05,mae,auto,False,0.7595215379873643,r2_score,maximize,0.8955923478548701,
4,188,4,0.05,2,4.145301906301159e-07,mae,auto,False,0.7595215379873643,r2_score,maximize,0.8955923478548701,
5,189,4,0.05,2,2.1368328503238217e-07,mae,auto,False,0.7595215379873643,r2_score,maximize,0.8955923478548701,
6,190,4,2.178716568924923e-06,2,2.3865267094585508e-06,mae,auto,False,0.7595215379873643,r2_score,maximize,0.8955923478548701,
7,191,4,0.04999999999999994,2,4.75513571164443e-05,mae,auto,False,0.7595215379873643,r2_score,maximize,0.8955923478548701,
8,176,4,1.6557067976561882e-06,2,1.194409689926309e-06,mae,auto,False,0.7595215379873643,r2_score,maximize,0.8955923478548701,
9,177,4,0.0006398036436076999,2,1.8619637174701608e-05,mae,auto,False,0.7595215379873643,r2_score,maximize,0.8955923478548701,
10,178,4,0.05,2,1.1792593458888993e-06,mae,auto,False,0.7595215379873643,r2_score,maximize,0.8955923478548701,
11,179,4,0.05,2,6.144991167112656e-06,mae,auto,False,0.7595215379873643,r2_score,maximize,0.8955923478548701,
12,180,4,9.010150139277518e-06,2,1.0901528589162817e-05,mae,auto,False,0.7595215379873643,r2_score,maximize,0.8955923478548701,
13,181,4,2.562801847171928e-07,2,2.919506759988283e-06,mae,auto,False,0.7595215379873643,r2_score,maximize,0.8955923478548701,
14,182,4,1e-07,2,1e-07,mae,auto,False,0.7595215379873643,r2_score,maximize,0.8955923478548701,
15,183,4,1e-07,2,1.0355454115652344e-06,mae,auto,False,0.7595215379873643,r2_score,maximize,0.8955923478548701,
16,168,4,0.05,2,2.4879304316816924e-06,mae,auto,False,0.7595215379873643,r2_score,maximize,0.8955923478548701,
17,169,4,1e-07,2,0.0001977723783096424,mae,auto,False,0.7595215379873643,r2_score,maximize,0.8955923478548701,
18,170,4,0.0002603751243198696,2,2.7625400418366052e-06,mae,auto,False,0.7595215379873643,r2_score,maximize,0.8955923478548701,
19,171,4,0.0013220058030766388,2,5.5529165035415624e-06,mae,auto,False,0.7595215379873643,r2_score,maximize,0.8955923478548701,
20,172,4,0.05,2,1.6047658720234786e-05,mae,auto,False,0.7595215379873643,r2_score,maximize,0.8955923478548701,
21,173,4,1.329535487272928e-07,2,3.3260674068283804e-07,mae,auto,False,0.7595215379873643,r2_score,maximize,0.8955923478548701,
22,174,4,0.00014913893233042626,2,3.475602069013612e-05,mae,auto,False,0.7595215379873643,r2_score,maximize,0.8955923478548701,
23,175,4,0.05,2,6.288390745281625e-07,mae,auto,False,0.7595215379873643,r2_score,maximize,0.8955923478548701,
24,160,4,4.879518200252729e-05,2,6.206525944214861e-07,mae,auto,False,0.7595215379873643,r2_score,maximize,0.8955923478548701,
